Date,Open,High,Low,Close,Volume,Adj Close
2007-04-27,86.27,86.34,84.98,85.39,3922400,67.61
2007-04-26,86.00,86.50,85.31,86.02,4352200,68.11
2007-04-25,85.41,86.10,85.14,85.70,4181400,67.85
2007-04-24,85.15,85.90,83.65,84.96,4925100,67.27
2007-04-23,86.40,86.78,85.10,85.50,5553700,67.70
2007-04-20,83.80,87.50,83.58,86.45,15798400,68.45
2007-04-19,82.55,83.31,82.14,83.23,6470100,65.90
2007-04-18,83.29,83.98,82.47,83.59,5622700,66.18
2007-04-17,83.05,83.50,82.58,83.29,4890100,65.95
2007-04-16,81.95,84.00,81.71,83.36,6817200,66.00
2007-04-13,81.10,81.45,80.59,81.04,3951300,64.17
2007-04-12,80.39,80.54,79.45,80.30,4155800,63.58
2007-04-11,80.52,81.58,79.80,80.13,5159200,63.44
2007-04-10,80.60,80.73,79.83,80.61,4848800,63.82
2007-04-09,80.09,80.09,80.09,80.09,000,63.41
2007-04-06,80.09,80.09,80.09,80.09,000,63.41
2007-04-05,79.15,80.44,79.15,80.09,4668000,63.41
2007-04-04,79.30,79.44,78.82,79.38,3610500,62.85
2007-04-03,78.82,79.12,78.27,78.85,5000800,62.43
2007-04-02,78.00,78.16,77.11,77.98,4627200,61.74
2007-03-30,77.85,78.84,77.51,78.19,4511200,61.91
2007-03-29,77.85,78.18,77.34,77.89,4728000,61.67
2007-03-28,77.75,78.15,76.75,77.24,4687400,61.16
2007-03-27,78.70,78.94,78.00,78.28,3491300,61.98
2007-03-26,79.35,79.45,77.32,78.00,4559000,61.76
2007-03-23,79.91,80.00,78.65,79.45,5339500,62.91
2007-03-22,79.25,80.05,78.77,80.00,6509900,63.34
2007-03-21,78.52,79.08,77.66,77.80,3937400,61.60
2007-03-20,78.00,78.67,77.27,78.43,3781600,62.10
2007-03-19,77.34,78.37,77.07,78.00,5396500,61.76
2007-03-16,76.94,77.08,75.53,76.20,6927200,60.33
2007-03-15,76.86,77.01,75.30,76.60,8027700,60.65
2007-03-14,76.19,76.62,75.21,75.43,11181800,59.72
2007-03-13,79.40,79.94,78.00,78.12,5254400,61.85
2007-03-12,80.83,81.00,79.41,79.50,4749600,62.95
2007-03-09,80.01,80.60,79.10,80.42,5710200,63.67
2007-03-08,79.31,80.57,79.07,80.24,7049800,63.53
2007-03-07,78.47,78.64,77.74,78.36,5470600,62.04
2007-03-06,78.40,78.49,77.51,78.17,6026000,61.89
2007-03-05,76.00,77.82,75.57,77.44,7444900,61.31
2007-03-02,78.81,79.19,76.68,77.27,7501300,61.18
2007-03-01,78.80,79.60,75.91,78.38,10669200,62.06
2007-02-28,79.14,80.23,77.25,78.94,8918000,62.50
2007-02-27,81.97,81.97,80.20,80.35,6420000,63.62
2007-02-26,82.60,83.12,82.15,82.30,3315200,65.16
2007-02-23,82.17,82.37,80.84,82.31,5764200,65.17
2007-02-22,82.89,83.09,81.55,81.71,5572400,64.70
2007-02-21,83.11,83.42,81.99,82.22,4354500,65.10
2007-02-20,83.14,83.25,82.16,82.79,3977900,65.55
2007-02-19,83.48,83.53,82.86,83.00,3687100,65.72
2007-02-16,83.80,83.85,82.30,83.15,7369300,65.84
2007-02-15,85.00,85.20,83.20,83.70,15541100,66.27
2007-02-14,86.45,87.30,85.95,87.00,4253100,68.88
2007-02-13,86.45,86.60,85.90,86.60,2660300,68.57
2007-02-12,86.55,86.65,85.55,86.00,3318300,68.09
2007-02-09,87.40,87.85,86.80,87.25,2629200,69.08
2007-02-08,87.40,87.45,86.40,86.95,3588200,68.84
2007-02-07,87.10,87.75,86.80,87.65,3162100,69.40
2007-02-06,87.05,87.75,86.85,86.90,2624300,68.81
2007-02-05,86.50,86.95,86.20,86.80,3551700,68.73
2007-02-02,86.60,87.50,86.35,86.90,4062800,68.81
2007-02-01,86.45,87.05,86.00,86.20,4824900,68.25
2007-01-31,85.90,86.40,85.40,85.55,5084600,67.74
2007-01-30,84.15,85.80,83.95,85.55,4297600,67.74
2007-01-29,83.75,84.45,83.25,84.15,3206000,66.63
2007-01-26,84.10,84.10,82.70,83.10,4497800,65.80
2007-01-25,85.00,85.80,84.30,84.55,4318500,66.94
2007-01-24,83.70,84.95,83.65,84.80,3808300,67.14
2007-01-23,83.50,83.70,82.80,83.50,3176200,66.11
2007-01-22,84.75,84.85,83.15,83.15,4187900,65.84
2007-01-19,83.25,84.65,83.00,84.50,4408000,66.90
2007-01-18,84.35,84.90,83.30,83.60,3457600,66.19
2007-01-17,84.85,85.05,83.70,83.90,2898300,66.43
2007-01-16,85.55,85.85,84.80,85.00,2634500,67.30
2007-01-15,85.60,85.95,84.80,85.45,2564000,67.66
2007-01-12,85.00,85.75,84.80,85.20,3276400,67.46
2007-01-11,83.25,85.00,82.90,85.00,5128600,67.30
2007-01-10,83.20,83.50,82.45,82.70,3952200,65.48
2007-01-09,84.35,85.00,83.90,83.90,3512000,66.43
2007-01-08,84.25,84.95,83.60,84.05,3271400,66.55
2007-01-05,84.90,85.05,84.10,84.10,2883700,66.59
2007-01-04,85.00,85.55,84.40,85.25,3068800,67.50
2007-01-03,85.10,85.75,84.50,85.45,3805300,67.66
2007-01-02,83.50,85.05,83.40,84.70,3842600,67.06
2007-01-01,82.65,82.65,82.65,82.65,000,65.44
2006-12-29,82.90,83.35,82.55,82.65,1722500,65.44
2006-12-28,82.85,83.10,82.40,82.60,1635200,65.40
2006-12-27,81.40,82.60,81.25,82.40,2331500,65.24
2006-12-26,80.50,80.50,80.50,80.50,000,63.74
2006-12-25,80.50,80.50,80.50,80.50,000,63.74
2006-12-22,81.80,81.80,80.10,80.50,3014100,63.74
2006-12-21,81.85,82.35,81.55,81.80,5273100,64.77
2006-12-20,82.70,82.85,81.70,82.30,3751100,65.16
2006-12-19,83.00,83.10,81.80,82.00,3629500,64.93
2006-12-18,83.10,83.75,82.70,83.15,3032300,65.84
2006-12-15,83.30,83.45,82.45,83.15,5101700,65.84
2006-12-14,82.60,83.15,82.10,83.05,5836000,65.76
2006-12-13,81.10,82.15,80.55,81.95,5410200,64.89
2006-12-12,81.25,81.40,80.50,81.10,6303500,64.21
2006-12-11,81.35,81.65,80.25,81.10,4459100,64.21
2006-12-08,80.65,81.25,79.60,80.70,4890900,63.90
2006-12-07,80.75,82.00,80.40,81.30,5100200,64.37
2006-12-06,81.45,81.85,80.65,81.10,2787700,64.21
2006-12-05,80.90,81.85,79.80,81.40,4028400,64.45
2006-12-04,80.10,80.70,79.25,80.50,4774400,63.74
2006-12-01,81.60,82.60,79.65,79.90,5238900,63.26
2006-11-30,82.25,82.60,81.20,81.35,3916500,64.41
2006-11-29,81.50,82.60,81.10,82.20,5182700,65.08
2006-11-28,80.75,81.40,79.55,81.15,5204600,64.25
2006-11-27,82.75,82.90,80.75,80.90,4415600,64.05
2006-11-24,83.35,83.60,82.10,83.00,3476900,65.72
2006-11-23,84.60,84.60,82.85,83.70,3137900,66.27
2006-11-22,84.60,84.75,83.45,84.20,3167700,66.67
2006-11-21,84.15,84.80,83.55,84.05,3166600,66.55
2006-11-20,83.20,84.35,82.80,84.05,2971500,66.55
2006-11-17,84.40,84.65,83.15,83.65,4087600,66.23
2006-11-16,85.20,85.20,83.65,84.45,7236100,66.87
2006-11-15,87.10,87.10,86.20,86.20,2234300,68.25
2006-11-14,87.00,87.00,86.15,86.50,3430800,68.49
2006-11-13,86.00,87.10,86.00,86.85,2669900,68.77
2006-11-10,85.80,86.10,84.80,86.10,3144900,68.17
2006-11-09,86.40,86.45,85.40,85.95,2895900,68.05
2006-11-08,85.90,86.75,85.90,86.50,2346100,68.49
2006-11-07,85.65,86.95,85.40,86.45,3431200,68.45
2006-11-06,84.00,85.30,84.00,85.30,2579800,67.54
2006-11-03,84.15,84.40,83.45,84.00,2868500,66.51
2006-11-02,85.25,85.45,83.60,83.85,4434700,66.39
2006-11-01,86.30,86.30,85.30,85.85,2220600,67.97
2006-10-31,85.75,86.65,85.50,86.15,2210400,68.21
2006-10-30,85.80,86.20,85.35,85.65,2241300,67.82
2006-10-27,87.35,87.45,86.15,86.55,1863600,68.53
2006-10-26,87.05,87.40,86.65,87.00,3085300,68.88
2006-10-25,86.15,87.15,85.85,86.45,2821900,68.45
2006-10-24,87.70,87.90,86.10,86.65,2738600,68.61
2006-10-23,86.85,87.50,85.85,87.20,1964100,69.04
2006-10-20,86.60,87.15,85.85,86.25,3821200,68.29
2006-10-19,85.70,86.95,85.55,86.50,2713900,68.49
2006-10-18,85.45,86.75,85.10,86.30,2715200,68.33
2006-10-17,86.10,86.25,84.45,84.65,3390100,67.02
