Date	Sessions
01/03/2014	70
02/03/2014	86
03/03/2014	195
04/03/2014	287
05/03/2014	227
06/03/2014	153
07/03/2014	149
08/03/2014	77
09/03/2014	98
10/03/2014	135
11/03/2014	157
12/03/2014	142
13/03/2014	136
14/03/2014	118
15/03/2014	82
16/03/2014	80
17/03/2014	154
18/03/2014	148
19/03/2014	140
20/03/2014	137
21/03/2014	138
22/03/2014	101
23/03/2014	105
24/03/2014	182
25/03/2014	189
26/03/2014	164
27/03/2014	138
28/03/2014	136
29/03/2014	80
30/03/2014	84
31/03/2014	166
01/04/2014	154
02/04/2014	168
03/04/2014	169
04/04/2014	169
05/04/2014	125
06/04/2014	105
07/04/2014	187
08/04/2014	151
09/04/2014	154
10/04/2014	175
11/04/2014	126
12/04/2014	110
13/04/2014	81
14/04/2014	158
15/04/2014	226
16/04/2014	180
17/04/2014	155
18/04/2014	137
19/04/2014	108
20/04/2014	68
21/04/2014	124
22/04/2014	151
23/04/2014	175
24/04/2014	168
25/04/2014	161
26/04/2014	97
27/04/2014	99
28/04/2014	166
29/04/2014	170
30/04/2014	163
01/05/2014	103
02/05/2014	151
03/05/2014	98
04/05/2014	107
05/05/2014	165
06/05/2014	159
07/05/2014	139
08/05/2014	126
09/05/2014	103
10/05/2014	68
11/05/2014	65
12/05/2014	182
13/05/2014	138
14/05/2014	201
15/05/2014	150
16/05/2014	142
17/05/2014	75
18/05/2014	71
19/05/2014	154
20/05/2014	176
21/05/2014	188
22/05/2014	196
23/05/2014	151
24/05/2014	93
25/05/2014	143
26/05/2014	152
27/05/2014	127
28/05/2014	139
29/05/2014	117
30/05/2014	119
31/05/2014	67
01/06/2014	78
02/06/2014	120
03/06/2014	170
04/06/2014	194
05/06/2014	152
06/06/2014	145
07/06/2014	126
08/06/2014	72
09/06/2014	124
10/06/2014	157
11/06/2014	137
12/06/2014	156
13/06/2014	150
14/06/2014	85
15/06/2014	80
16/06/2014	180
17/06/2014	181
18/06/2014	173
19/06/2014	190
20/06/2014	155
21/06/2014	93
22/06/2014	77
23/06/2014	193
24/06/2014	166
25/06/2014	170
26/06/2014	171
27/06/2014	159
28/06/2014	87
29/06/2014	73
30/06/2014	164
01/07/2014	208
02/07/2014	187
03/07/2014	182
04/07/2014	148
05/07/2014	85
06/07/2014	86
07/07/2014	184
08/07/2014	202
09/07/2014	160
10/07/2014	186
11/07/2014	153
12/07/2014	94
13/07/2014	103
14/07/2014	125
15/07/2014	152
16/07/2014	158
17/07/2014	148
18/07/2014	150
19/07/2014	99
20/07/2014	83
21/07/2014	154
22/07/2014	182
23/07/2014	203
24/07/2014	204
25/07/2014	177
26/07/2014	55
27/07/2014	83
28/07/2014	176
29/07/2014	186
30/07/2014	173
31/07/2014	152
01/08/2014	196
02/08/2014	83
03/08/2014	103
04/08/2014	179
05/08/2014	152
06/08/2014	162
07/08/2014	180
08/08/2014	136
09/08/2014	85
10/08/2014	91
11/08/2014	178
12/08/2014	161
13/08/2014	162
14/08/2014	151
15/08/2014	121
16/08/2014	73
17/08/2014	79
18/08/2014	158
19/08/2014	177
20/08/2014	171
21/08/2014	163
22/08/2014	145
23/08/2014	71
24/08/2014	67
25/08/2014	137
26/08/2014	185
27/08/2014	208
28/08/2014	172
29/08/2014	161
30/08/2014	92
31/08/2014	74
01/09/2014	163
02/09/2014	178
03/09/2014	199
04/09/2014	174
05/09/2014	324
06/09/2014	100
07/09/2014	124
08/09/2014	197
09/09/2014	170
10/09/2014	184
11/09/2014	195
12/09/2014	297
13/09/2014	105
14/09/2014	115
15/09/2014	155
16/09/2014	193
17/09/2014	218
18/09/2014	242
19/09/2014	193
20/09/2014	96
21/09/2014	147
22/09/2014	305
23/09/2014	275
24/09/2014	283
25/09/2014	345
26/09/2014	493
27/09/2014	118
28/09/2014	132
29/09/2014	283
30/09/2014	204
01/10/2014	179
02/10/2014	222
03/10/2014	328
04/10/2014	105
05/10/2014	145
06/10/2014	257
07/10/2014	206
08/10/2014	222
09/10/2014	303
10/10/2014	503
11/10/2014	156
12/10/2014	190
13/10/2014	319
14/10/2014	304
15/10/2014	243
16/10/2014	242
17/10/2014	324
18/10/2014	144
19/10/2014	168
20/10/2014	319
21/10/2014	257
22/10/2014	255
23/10/2014	248
24/10/2014	359
25/10/2014	115
26/10/2014	126
27/10/2014	222
28/10/2014	234
29/10/2014	199
30/10/2014	206
31/10/2014	192
01/11/2014	97
02/11/2014	131
03/11/2014	248
04/11/2014	204
05/11/2014	209
06/11/2014	237
07/11/2014	338
08/11/2014	114
09/11/2014	136
10/11/2014	224
11/11/2014	273
12/11/2014	295
13/11/2014	314
14/11/2014	461
15/11/2014	179
16/11/2014	174
17/11/2014	242
18/11/2014	244
19/11/2014	261
20/11/2014	251
21/11/2014	385
22/11/2014	119
23/11/2014	178
24/11/2014	215
25/11/2014	238
26/11/2014	237
27/11/2014	208
28/11/2014	336
29/11/2014	113
30/11/2014	127
01/12/2014	236
02/12/2014	237
03/12/2014	285
04/12/2014	314
05/12/2014	397
06/12/2014	142
07/12/2014	165
08/12/2014	305
09/12/2014	226
10/12/2014	230
11/12/2014	234
12/12/2014	207
13/12/2014	123
14/12/2014	145
15/12/2014	236
16/12/2014	270
17/12/2014	256
18/12/2014	177
19/12/2014	176
20/12/2014	121
21/12/2014	119
22/12/2014	185
23/12/2014	162
24/12/2014	119
25/12/2014	87
26/12/2014	121
27/12/2014	84
28/12/2014	110
29/12/2014	157
30/12/2014	169
31/12/2014	112
01/01/2015	83
02/01/2015	154
03/01/2015	157
04/01/2015	117
05/01/2015	215
06/01/2015	224
07/01/2015	186
08/01/2015	187
09/01/2015	192
10/01/2015	103
11/01/2015	126
12/01/2015	238
13/01/2015	249
14/01/2015	235
15/01/2015	233
16/01/2015	201
17/01/2015	133
18/01/2015	135
19/01/2015	243
20/01/2015	254
21/01/2015	216
22/01/2015	244
23/01/2015	215
24/01/2015	122
